removed,reason
glacier,mass of compounded environmental materials
outlet glacier,mass of compounded environmental materials
ice sheet,mass of compounded environmental materials
mass of compounded environmental materials,mass of compounded environmental materials
plant matter fall,mass of compounded environmental materials
mass of solid material,mass of environmental material
mass of liquid,mass of environmental material
photophore,mass of environmental material
macroplastic particle,mass of environmental material
achondrite,mass of environmental material
plastic line,mass of environmental material
stony-iron meteorite,mass of environmental material
dwarf gas planet,mass of environmental material
lithometeor,mass of environmental material
helium planet,mass of environmental material
indeterminate root nodule infection zone,mass of environmental material
mycetome,mass of environmental material
indeterminate root nodule nitrogen fixation zone,mass of environmental material
indeterminate root nodule,mass of environmental material
supercooled water droplet,mass of environmental material
mass of gas,mass of environmental material
bubble,mass of environmental material
pebble,mass of environmental material
gas planet,mass of environmental material
organic object,mass of environmental material
mini-Neptune,mass of environmental material
methane gas bubble,mass of environmental material
air mass,mass of environmental material
plastic film,mass of environmental material
plastic fragment,mass of environmental material
nurdle,mass of environmental material
piece of plastic,mass of environmental material
organic object formed through microbial activity,mass of environmental material
meteorite,mass of environmental material
mesoplastic particle,mass of environmental material
megaplastic particle,mass of environmental material
hot Jupiter,mass of environmental material
microplastic particle,mass of environmental material
mass of fluid,mass of environmental material
animal carcass fall,mass of environmental material
plastic pellet,mass of environmental material
raindrop,mass of environmental material
determinate root nodule,mass of environmental material
cobble,mass of environmental material
droplet,mass of environmental material
piece of plastic foam,mass of environmental material
whale fall,mass of environmental material
ice giant,mass of environmental material
mass of environmental material,mass of environmental material
root nodule,mass of environmental material
star,mass of environmental material
seal fall,mass of environmental material
trophosome,mass of environmental material
carcass,mass of environmental material
secondary microplastic particle,mass of environmental material
chondrite,mass of environmental material
water raindrop,mass of environmental material
piece of gravel,mass of environmental material
water droplet,mass of environmental material
primary microplastic particle,mass of environmental material
granule of plastic foam,mass of environmental material
piece of rock,mass of environmental material
boulder,mass of environmental material
iron meteorite,mass of environmental material
organ,mass of environmental material
giant gas planet,mass of environmental material
water-based cloud droplet,mass of environmental material
stony meteorite,mass of environmental material
nanoplastic particle,mass of environmental material
hot Neptune,mass of environmental material
cloud droplet,mass of environmental material
indeterminate root nodule senescent zone,mass of environmental material
indeterminate root nodule active meristem,mass of environmental material
diatomite particle,mass of environmental material
photosphere,mass of environmental material
glory,meteor
solar rainbow,meteor
water-based cloud,meteor
fogbow,meteor
cloud,meteor
monochrome solar rainbow,meteor
light emitted by lightning,meteor
reflection rainbow,meteor
lunar rainbow,meteor
meteor,meteor
homomutatus cloud,meteor
silvagenitus cloud,meteor
rainbow,meteor
hydrometeor,meteor
homogenitus cloud,meteor
polar stratospheric cloud,meteor
halo,meteor
photometeor,meteor
cloud top,meteor
cloud base,meteor
cloud part,meteor
mid-elevation mountain,mid-elevation mountain
UNEP-WCMC class 6 mountain,mid-elevation mountain
UNEP-WCMC class 5 mountain,mid-elevation mountain
UNEP-WCMC class 4 mountain,mid-elevation mountain
uranium deposit,mineral deposit
stalagmite,mineral deposit
mineral deposit,mineral deposit
stalactite,mineral deposit
speleothem,mineral deposit
natural nuclear fission reactor,mineral deposit
rain,object aggregate
freezing rain,object aggregate
falling sleet,object aggregate
hail,object aggregate
falling snow,object aggregate
water-based rain,object aggregate
object aggregate,object aggregate
acidic water-based rain,object aggregate
political entity,political entity
supranational geopolitical entity,political entity
first nations reserve,political entity
national geopolitical entity,political entity
sub-Earth,astronomical body
meteoroid,astronomical body
planetesimal,astronomical body
minor planet,astronomical body
asteroid,astronomical body
mesoplanet,astronomical body
moonmoon,astronomical body
planet,astronomical body
ocean planet,astronomical body
protoplanet,astronomical body
lava planet,astronomical body
astronomical body,astronomical body
super-Earth,astronomical body
mega-Earth,astronomical body
super-Jupiter,astronomical body
chthonian planet,astronomical body
terrestrial planet,astronomical body
desert planet,astronomical body
dwarf planet,astronomical body
planetary moon,astronomical body
ice planet,astronomical body
iron planet,astronomical body
circumbinary planet,astronomical body
